artist_name,artist_wikidata_uri,related_work,title,url,redirect_url,artist_info,print_info,description,topic
"Galle, Joannes",http://www.wikidata.org/entity/Q12058270,1,The Unhappy Lot of the Rich,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836612?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910425,"Engraving by Phillip Galle (1537–1612), after Maarten van Heemskerck (1498–1574). Joannes Galle (1600–76). ""exc."" [Antwerp, 1563].",17.1 x 23.2 cmCF b10,"Plate one of his series of six engravings after Heemskerck with this title, published in 1563. A later state, shown here, called Divitum Misera Sors, was issued by Joannes Galle. Illustration of Matthew 19:23-24. A rich man tries to enter the gate to Heaven, but his money bags hold him back. Behind him, three men try to lead a camel through the eye of a needle.",Vanity and Virtue
"Galle, Philip",http://www.wikidata.org/entity/Q1379395,1,The Unhappy Lot of the Rich,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836612?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910425,"Engraving by Phillip Galle (1537–1612), after Maarten van Heemskerck (1498–1574). Joannes Galle (1600–76). ""exc."" [Antwerp, 1563].",17.1 x 23.2 cmCF b10,"Plate one of his series of six engravings after Heemskerck with this title, published in 1563. A later state, shown here, called Divitum Misera Sors, was issued by Joannes Galle. Illustration of Matthew 19:23-24. A rich man tries to enter the gate to Heaven, but his money bags hold him back. Behind him, three men try to lead a camel through the eye of a needle.",Vanity and Virtue
"Heemskerck, Maarten van",http://www.wikidata.org/entity/Q538350,1,The Unhappy Lot of the Rich,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836612?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910425,"Engraving by Phillip Galle (1537–1612), after Maarten van Heemskerck (1498–1574). Joannes Galle (1600–76). ""exc."" [Antwerp, 1563].",17.1 x 23.2 cmCF b10,"Plate one of his series of six engravings after Heemskerck with this title, published in 1563. A later state, shown here, called Divitum Misera Sors, was issued by Joannes Galle. Illustration of Matthew 19:23-24. A rich man tries to enter the gate to Heaven, but his money bags hold him back. Behind him, three men try to lead a camel through the eye of a needle.",Vanity and Virtue
"Cort, Cornelis",http://www.wikidata.org/entity/Q167220,10,Justice Rewards Toil,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836621?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910443,"Engraving by Cornelis Cort (1533–78), after Federigo Zuccaro (or Zucchero, 1540–1609). Anton Lafreri, ""formis."" Romæ, 1566.",26.5 x 31.5 cmCF i1 xx,"Justice, holding scales in one hand, offers riches to a kneeling peasant.",Vanity and Virtue
"Lafreri, Anton",http://www.wikidata.org/entity/Q602742,10,Justice Rewards Toil,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836621?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910443,"Engraving by Cornelis Cort (1533–78), after Federigo Zuccaro (or Zucchero, 1540–1609). Anton Lafreri, ""formis."" Romæ, 1566.",26.5 x 31.5 cmCF i1 xx,"Justice, holding scales in one hand, offers riches to a kneeling peasant.",Vanity and Virtue
"Zuccaro, Federigo",http://www.wikidata.org/entity/Q345605,10,Justice Rewards Toil,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836621?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910443,"Engraving by Cornelis Cort (1533–78), after Federigo Zuccaro (or Zucchero, 1540–1609). Anton Lafreri, ""formis."" Romæ, 1566.",26.5 x 31.5 cmCF i1 xx,"Justice, holding scales in one hand, offers riches to a kneeling peasant.",Vanity and Virtue
"Saenredam, Jan",http://www.wikidata.org/entity/Q711775,11,Avarice,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836622?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910445,"Engraving, in the style of Jan Saenredam (1565–1607). [Netherlands? ca. 1600].","21 x 14 cm, imageCF n9","Depiction of a man clutching money bags. ""The miser, hoarding his treasure, lives amid riches, yet is always destitute."" (Latin caption). The frog in the foreground is a symbol associated with sin, particularly that of hoarding worldly things.",Vanity and Virtue
"Galle, Philip",http://www.wikidata.org/entity/Q1379395,12,Divitiæ,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836623?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910447,"Engraving by Karel van Mallery (ca. 1571–ca. 1635), after Marten de Vos (ca. 1531–1603). Philip Galle (1537–1612), ""excud."" [Antwerp, ca. 1600].","17.5 x 22.5 cm, imageCF b2","Riches, portrayed as a woman holding money, jewels, and silver, sits near a little girl who holds a mirror. She is Pride, the daughter of Riches.",Vanity and Virtue
"Mallery, Karel van",http://www.wikidata.org/entity/Q6369402,12,Divitiæ,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836623?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910447,"Engraving by Karel van Mallery (ca. 1571–ca. 1635), after Marten de Vos (ca. 1531–1603). Philip Galle (1537–1612), ""excud."" [Antwerp, ca. 1600].","17.5 x 22.5 cm, imageCF b2","Riches, portrayed as a woman holding money, jewels, and silver, sits near a little girl who holds a mirror. She is Pride, the daughter of Riches.",Vanity and Virtue
"Vos, Marten de",http://www.wikidata.org/entity/Q555022,12,Divitiæ,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836623?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910447,"Engraving by Karel van Mallery (ca. 1571–ca. 1635), after Marten de Vos (ca. 1531–1603). Philip Galle (1537–1612), ""excud."" [Antwerp, ca. 1600].","17.5 x 22.5 cm, imageCF b2","Riches, portrayed as a woman holding money, jewels, and silver, sits near a little girl who holds a mirror. She is Pride, the daughter of Riches.",Vanity and Virtue
