index,image_path,caption_id,caption_text,Title,Author / Creator,Edition,Description,Notes,Subjects,Form / genre,Culture,Identifier,Related work,Related information,Associated name,Use restrictions,Copyright,Repository,Includes layers,Collection,Creation Date,HOLLIS number,Permalink,Source,Image ID,Permalink.1,url,artist_name,artist_wikidata_uri,related_work,title,redirect_url,artist_info,print_info,description,topic
0,images/3910511.jpg,4bde0737-f255-4a68-b57a-497321b99c64,an image of a city street with a horse drawn [SEP],[The Apostles Distribute the Money to those in Need. Acts 4: 32-35],"Sadeler, Jan, 1550-1600, Flemish [engraver];Vos, Martin de, 1532-1603, Flemish [artist]",,"Depicts the Apostles distributing bags of money among the poor and needy. In the background people are taking communion.;<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>engraving (printing process);<i>Dimensions: </i>16.5 x 23.8 cm., image",,Biblical events ; apostles ; money ; poor ; moneybags ; baskets ; coins ; city views (creative works),engravings,,Coin and Conscience catalog 30,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>",,"Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.",,"Baker Library Special Collections and Archives, Harvard Business School CC b1",,,ca. 1600,olvwork308286,"<a href=""http://id.lib.harvard.edu/via/olvwork308286/catalog"">http://id.lib.harvard.edu/via/olvwork308286/catalog</a>",HVD - Images,4087846,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308286&context=L&vid=HVD2&lang=en_US,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836612?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School","['Heemskerck, Maarten van', 'Galle, Philip', 'Galle, Joannes']","['http://www.wikidata.org/entity/Q12058270', 'http://www.wikidata.org/entity/Q538350', 'http://www.wikidata.org/entity/Q1379395']",1,The Unhappy Lot of the Rich,https://iiif.lib.harvard.edu/manifests/view/ids:3910425,"Engraving by Phillip Galle (1537–1612), after Maarten van Heemskerck (1498–1574). Joannes Galle (1600–76). ""exc."" [Antwerp, 1563].",17.1 x 23.2 cmCF b10,"Plate one of his series of six engravings after Heemskerck with this title, published in 1563. A later state, shown here, called Divitum Misera Sors, was issued by Joannes Galle. Illustration of Matthew 19:23-24. A rich man tries to enter the gate to Heaven, but his money bags hold him back. Behind him, three men try to lead a camel through the eye of a needle.",Vanity and Virtue
1,images/3910539.jpg,be50790a-d58e-4780-a8b4-b07576a8ecb5,an image of a group of people in a courtyard [SEP],[The Fight of the Money-Bags and the Coffers],"Heyden, Pieter van der, 1530-1575, Dutch [engraver];Brueghel, Pieter, the elder, 1525-1569, Flemish [artist]",Second state.,"Caption below image is in Latin, French and Dutch: Riches make thieves, or, gold and silver have destroyed many. Printed in Belgium.;<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>engraving (printing process);<i>Dimensions: </i>23.7 x 30.4 cm., plate mark",,allegories ; personification ; money ; coin hoards ; coffers (furniture) ; moneybags ; battles ; battlefields ; coins ; swords ; spears (weapons) ; war casualties,engravings,,Coin and Conscience catalog 5,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>","Galle, Joannes, 1600-1676 [publisher]","Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.",,"Baker Library Special Collections and Archives, Harvard Business School CF b4 xx",,,1558?,olvwork308229,"<a href=""http://id.lib.harvard.edu/via/olvwork308229/catalog"">http://id.lib.harvard.edu/via/olvwork308229/catalog</a>",HVD - Images,4087625,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308229&context=L&vid=HVD2&lang=en_US,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836613?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School","['Heemskerck, Maarten van', 'Galle, Philip']","['http://www.wikidata.org/entity/Q538350', 'http://www.wikidata.org/entity/Q1379395']",2,The Unhappy Lot of the Rich,https://iiif.lib.harvard.edu/manifests/view/ids:3910427,"Engraving by Philip Galle (1537–1612), after Maarten van Heemskerck (1498–1574). [Antwerp, 1563].",17 x 23 cmCF b11,"First state. Plate four of his series of six engravings after Heemskerck with this title. Depiction of the qualities that accompany money: Queen Money's car is drawn by Danger and Fear, while Robbery hides under her cloak. She is followed by Folly, Envy, Theft, and the Entire Populace.",Vanity and Virtue
2,images/3910471.jpg,c3dde9af-acc5-4f87-b26c-e9a83e4bddde,an image of a man in a coat and hat [SEP],[Peasant with Coins],"Hess, Carl Ernst Christoph, 1755-1828, German [engraver];Ostade, Adriaen van, 1610-1685, Dutch [artist]",,"Below image: ""Aus der Sammlung des Canonicus Speth."";<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>engraving (printing process);<i>Materials/Techniques: </i>drypoint;<i>Dimensions: </i>28.5 x 19.7 cm., plate mark",,peasants ; coins ; coin hoards ; hats ; male figures,engravings,,Coin and Conscience catalog 17,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>",,"Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.",,"Baker Library Special Collections and Archives, Harvard Business School CA g12 x",,,18th century,olvwork308270,"<a href=""http://id.lib.harvard.edu/via/olvwork308270/catalog"">http://id.lib.harvard.edu/via/olvwork308270/catalog</a>",HVD - Images,4089365,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308270&context=L&vid=HVD2&lang=en_US,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836614?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School","['Cock, Hieronymu', 'Heemskerck, Maarten van', 'Coornhert, Dirck Volkertsz.', 'Cort, Cornelis']","['http://www.wikidata.org/entity/Q538350', 'http://www.wikidata.org/entity/Q765465', 'http://www.wikidata.org/entity/Q640361', 'http://www.wikidata.org/entity/Q167220']",3,The Triumph of Riches,https://iiif.lib.harvard.edu/manifests/view/ids:3910429,"Engraving by Dirck Volkertsz. Coornhert (1519–90), or Cornelis Cort (1533–78), after Maarten van Heemskerck (1498–1574). Published by Hieronymus Cock (1510–70). [Antwerp, 1564].",22.2 x 29.4 cmCF b5 xx,"First state. Plate two of the series of eight engravings after Heemskerck entitled Circulus vicissitudinis rerum humanarum (Cycle of the vicissitudes of human affairs.) Riches, the mother of Pride, rides on the car named Fame, which is pulled by Fraud and Rapine. Following Betrayal, Usury, and Lust are False Joy and other Idle Pleasures.",Vanity and Virtue
3,images/3910465.jpg,959f2724-57c1-49d7-ba06-90648de460a2,an image of a cartoon of a man and woman [SEP],[Justice Rewards Toil],"Cort, Cornelis, 1533-before 1578, Flemish [engraver];Zucchero, Frederico, 1541-1609, Italian [artist]",,"Justice, holding scales in one hand, offers riches to a kneeling peasant.;<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>engraving (printing process);<i>Dimensions: </i>26.5 x 31.5 cm., plate mark",,allegories ; personification ; scales (weighing devices) ; wealth ; labor ; human figures,engravings,,Coin and Conscience catalog 10,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>","Lafrery, Antoine, 1512-1577 [publisher]","Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.",,"Baker Library Special Collections and Archives, Harvard Business School CF i1 xx",,,1566,olvwork308262,"<a href=""http://id.lib.harvard.edu/via/olvwork308262/catalog"">http://id.lib.harvard.edu/via/olvwork308262/catalog</a>",HVD - Images,4088687,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308262&context=L&vid=HVD2&lang=en_US,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836615?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School","['Stradanus, Johannes', 'Galle, Philip']","['http://www.wikidata.org/entity/Q143595', 'http://www.wikidata.org/entity/Q1379395']",4,An Allegorical Hunt,https://iiif.lib.harvard.edu/manifests/view/ids:3910431,"Engraved and published by Philip Galle (1537–1612), after Johannes Stradanus (1536–1605). [Antwerp, 1578].",21.7 x 24 cm; lower plate mark trimmedCF b3 xx,"Money is chased by a peasant whose hounds are Frugality, Industry, and Labor; Prodigality, whose hounds are Rapine and Chance; and Avarice, whose hounds are Usury and Fraud. Justice is trampled under foot.",Vanity and Virtue
4,images/3910459.jpg,9ea540da-eb9b-4f06-aedc-8943e9f5cce6,an image of a nude woman lying on a bed [SEP],J'ai Perdue!,"Roehn, Adolphe Eugene Gabriel, 1780-1867, French [artist];Chollet, Antoin Joseph, 1793- [engraver]",,"A poor, pregnant woman with three small children holds a losing lottery ticket in her hand.;<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>engraving (printing process);<i>Dimensions: </i>56 x 42.8 cm., plate mark",,mothers ; poverty ; lotteries ; children ; pregnancy ; snow ; government office buildings,engravings,,Coin and Conscience catalog 59,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>",,"Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.",,"Baker Library Special Collections and Archives, Harvard Business School CE f3 xxx",,,1824,olvwork308321,"<a href=""http://id.lib.harvard.edu/via/olvwork308321/catalog"">http://id.lib.harvard.edu/via/olvwork308321/catalog</a>",HVD - Images,4087410,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308321&context=L&vid=HVD2&lang=en_US,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836616?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School","['Heyden, Pieter van der', 'Galle, Joannes', 'Breughel, Pieter, the Elder']","['http://www.wikidata.org/entity/Q12058270', 'http://www.wikidata.org/entity/Q2094287', 'http://www.wikidata.org/entity/Q43270']",5,The Fight of the Money-Bags and the Coffers,https://iiif.lib.harvard.edu/manifests/view/ids:3910433,"Engraving by Pieter van der Heyden (fl. 1557), after Pieter Breughel the Elder (1525–69.) Joannes Galle (1600–76), ""excudit."" [Belgium, 1558?].",23.7 x 30.4 cmCF b4 xx,"Second state. Caption below image is in Latin, French and Dutch: Riches make thieves, or, gold and silver have destroyed many.",Vanity and Virtue
5,images/3910473.jpg,64308e39-8e15-40ee-9a9f-a7571c43ff09,an image of a man running with a hat on his head [SEP],Der Bruder Esel mit dem Gelt.,,,"An ass is pictured defecating coins while peasants, merchants, and noblemen run to catch them. Print by unknown artist.;<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>etching (printing process);<i>Materials/Techniques: </i>engraving (printing process);<i>Dimensions: </i>19.5 x 32 cm., plate mark",,allegories ; coins ; money ; excrement ; peasants ; merchants ; noblemen ; asses,etchings;engravings,,Coin and Conscience catalog 6,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>",,"Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.",,"Baker Library Special Collections and Archives, Harvard Business School CA g3 xx",,,Early 17th century,olvwork308255,"<a href=""http://id.lib.harvard.edu/via/olvwork308255/catalog"">http://id.lib.harvard.edu/via/olvwork308255/catalog</a>",HVD - Images,4089807,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308255&context=L&vid=HVD2&lang=en_US,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836617?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",,,6,Der Bruder Esel mit dem Gelt,https://iiif.lib.harvard.edu/manifests/view/ids:3910435,Etching and engraving. [Germany? Early 17th century].,"19.5 x 32 cm, imageCA g3 xx","An ass is pictured defecating coins while peasants, merchants, and noblemen run to catch them.",Vanity and Virtue
6,images/3910467.jpg,e7b63714-57d5-4e96-8e75-987d0276b141,an image of a man being taken from a man's body [SEP],Le Plaisir des Vieillards.,"Basan, Pierre François, 1723-1797, French [engraver];Teniers II, David, 1610-1690, Flemish [artist]",,"Below image: ""Tiré du Cabinet de Mr. le Comte de Vence."" An old couple weighing coins.;<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>etching (printing process);<i>Dimensions: </i>26.5 x 19.2 cm., plate mark",,old age ; couples ; gold ; coins ; scales (weighing devices) ; moneybags,engravings,,Coin and Conscience catalog 16,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>",,"Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.",,"Baker Library Special Collections and Archives, Harvard Business School CA f19 x",,,18th century,olvwork308269,"<a href=""http://id.lib.harvard.edu/via/olvwork308269/catalog"">http://id.lib.harvard.edu/via/olvwork308269/catalog</a>",HVD - Images,4084274,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308269&context=L&vid=HVD2&lang=en_US,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836618?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School","Greuter, Mathias",http://www.wikidata.org/entity/Q3299661,7,Gellt Zeucht die Weltt. Mundum Trahit Pecunia,https://iiif.lib.harvard.edu/manifests/view/ids:3910437,"Engraved, designed, and published by Mathias Greuter (1564–1638). [Strasbourg(?)] 1589.",23 x 27.8 cmCF g1 xx,"First state. Gold coins form the wheels of a chariot, upon which is the World, while two noblemen blinded by money walk alongside. A group of peasants is held back by Poverty, standing on the wheel of Fortune.",Vanity and Virtue
7,images/3910507.jpg,6c2f4ef4-077b-4b93-9ad1-504eae1f6409,an image of a man and woman in a kitchen [SEP],[The Parable of Ananias and Sapphira. Acts 5: 1],"Heemskerck, Martin van, 1498-1574, Dutch [artist];Visscher, Claes Jansz, 1587-1652 [printer]",,"Ananias and his wife Sapphira were struck dead for holding back some of their property that was to be communally owned.;<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>engraving (printing process);<i>Dimensions: </i>20.9 x 26.4 cm., plate mark",,Biblical events ; parables ; money ; death ; moneybags ; coins ; apostles ; human figures,engravings,,Coin and Conscience catalog 29,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>",,"Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.",,"Baker Library Special Collections and Archives, Harvard Business School CC n6 x",,,early 17th century,olvwork308285,"<a href=""http://id.lib.harvard.edu/via/olvwork308285/catalog"">http://id.lib.harvard.edu/via/olvwork308285/catalog</a>",HVD - Images,4084326,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308285&context=L&vid=HVD2&lang=en_US,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836619?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School","['Cock, Hieronymu', 'Vos, Marten de', 'Wierx, Hieronymus']","['http://www.wikidata.org/entity/Q555022', 'http://www.wikidata.org/entity/Q640361', 'http://www.wikidata.org/entity/Q2778104']",8,The Two Deaths,https://iiif.lib.harvard.edu/manifests/view/ids:3910439,"Engraving by Hieronymus Wierx (1553–1619), after Marten de Vos (ca. 1531–1603). Published by Hieronymus Cock, ""Aux .4. Vents."" [Antwerp, late 16th century].","29.8 x 32.5 cm, imageCF b9 xxx","A narrative in two parts. At left, a pious man receives riches from heaven; at right, Death prepares to strike a miser amidst his wealth.",Vanity and Virtue
8,images/3910513.jpg,f000fe8e-3264-4dd8-b1e6-e5673e77366c,an image of a man being taken from a cart [SEP],[St. Roch Giving Alms to the Poor],"Reni, Guido, 1575-1642, Italian [etcher];Carracci, Annibale, 1560-1609, Italian [artist]",,"St. Roch, born in France, was venerated in Italy for his charity toward the sick and his gift of healing.;<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>etching (printing process);<i>Dimensions: </i>29.3 x 45.5 cm., plate mark",,charity ; saints ; sick ; poor ; food ; money,etchings,,Coin and Conscience catalog 32,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>","Stefanoni, Pietro, ca.1589-after 1627, Italian [publisher]","Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.",,"Baker Library Special Collections and Archives, Harvard Business School CC i3 xx",,,1610,olvwork308288,"<a href=""http://id.lib.harvard.edu/via/olvwork308288/catalog"">http://id.lib.harvard.edu/via/olvwork308288/catalog</a>",HVD - Images,4085200,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308288&context=L&vid=HVD2&lang=en_US,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836620?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School","['Sadeler, Raphael, I', 'Vos, Marten de']","['http://www.wikidata.org/entity/Q555022', 'http://www.wikidata.org/entity/Q19569785']",9,Honor,https://iiif.lib.harvard.edu/manifests/view/ids:3910441,"Engraving by Raphael Sadeler I (1560–1628), after Marten de Vos (ca. 1531–1603). [n.p., 1591].","22 x 25 cm, imageCF b8 x","Plate three from his series of four allegorical prints on the virtues after de Vos, representing also the four ages of man. A pious man turns away from a woman offering riches.",Vanity and Virtue
9,images/3910499.jpg,4be215d4-7afb-440f-a2de-24ba1c17b6b6,an image of a woman and two children [SEP],Le Veau d'Or. Exod. 32.,"Ertinger, Franz, 1640-ca.1710 [etcher];La Fage, Raymond, 1656-1684, French [artist]",,"Adoration of the golden calf.;<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>etching (printing process);<i>Dimensions: </i>46.5 x 31.2 cm., plate mark",,Biblical events ; worship ; dance ; altars ; tablets ; gold ; calves ; gods ; human figures ; mountains ; prophets,etchings,,Coin and Conscience catalog 33,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>","Valck, Gerard, born 1651-1652 -died 1726 [publisher]","Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.",,"Baker Library Special Collections and Archives, Harvard Business School CC f7 xxx",,,1683,olvwork308289,"<a href=""http://id.lib.harvard.edu/via/olvwork308289/catalog"">http://id.lib.harvard.edu/via/olvwork308289/catalog</a>",HVD - Images,4087942,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308289&context=L&vid=HVD2&lang=en_US,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836621?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School","['Zuccaro, Federigo', 'Lafreri, Anton', 'Cort, Cornelis']","['http://www.wikidata.org/entity/Q602742', 'http://www.wikidata.org/entity/Q345605', 'http://www.wikidata.org/entity/Q167220']",10,Justice Rewards Toil,https://iiif.lib.harvard.edu/manifests/view/ids:3910443,"Engraving by Cornelis Cort (1533–78), after Federigo Zuccaro (or Zucchero, 1540–1609). Anton Lafreri, ""formis."" Romæ, 1566.",26.5 x 31.5 cmCF i1 xx,"Justice, holding scales in one hand, offers riches to a kneeling peasant.",Vanity and Virtue
